19th January 2022	3	12	19	37	39	45	47
15th January 2022	5	10	35	41	42	44	13
12th January 2022	8	21	26	29	31	46	40
8th January 2022	6	18	23	31	46	48	4
5th January 2022	2	5	8	29	36	45	23
1st January 2022	7	8	15	17	19	33	6
29th December 2021	18	32	42	44	45	48	38
25th December 2021	4	13	21	24	31	45	41
22nd December 2021	1	2	3	11	15	43	46
18th December 2021	2	10	15	16	20	49	18
15th December 2021	1	9	12	18	35	48	19
11th December 2021	1	6	26	27	43	46	12
8th December 2021	23	25	26	36	40	49	42
4th December 2021	5	11	15	28	31	47	19
1st December 2021	14	17	27	34	36	42	8
27th November 2021	6	7	14	23	35	41	11
24th November 2021	10	11	18	20	35	48	39
20th November 2021	15	25	26	29	42	43	22
17th November 2021	3	4	18	23	27	28	38
13th November 2021	5	6	7	18	25	37	24
10th November 2021	2	7	18	19	23	25	43
6th November 2021	14	16	28	39	41	47	37
3rd November 2021	9	20	27	35	37	43	3
30th October 2021	3	5	7	23	42	46	15
27th October 2021	3	9	14	36	40	46	41
23rd October 2021	1	3	9	40	42	44	46
20th October 2021	6	9	34	35	48	49	41
16th October 2021	5	10	11	33	44	47	20
13th October 2021	2	7	8	11	19	27	24
9th October 2021	1	11	19	27	28	38	8
6th October 2021	7	18	19	38	42	46	31
2nd October 2021	8	17	18	19	48	49	26
29th September 2021	3	5	38	39	41	48	28
25th September 2021	3	8	10	35	46	48	17
22nd September 2021	5	14	19	30	38	40	27
18th September 2021	9	26	29	36	40	41	27
15th September 2021	7	11	14	15	27	41	49
11th September 2021	15	18	31	33	34	41	45
8th September 2021	2	7	10	16	28	36	41
4th September 2021	6	13	18	19	29	49	2
1st September 2021	3	4	14	18	19	42	43
28th August 2021	6	8	9	12	19	26	43
25th August 2021	1	16	34	37	41	48	21
21st August 2021	2	9	15	21	38	46	36
18th August 2021	7	8	28	30	32	42	33
14th August 2021	3	8	11	34	40	47	4
11th August 2021	12	15	25	40	44	45	31
7th August 2021	10	13	15	22	29	46	3
4th August 2021	3	8	21	38	42	49	27
31st July 2021	7	30	37	43	47	49	20
28th July 2021	1	4	10	14	32	39	19
24th July 2021	1	5	7	19	37	45	35
21st July 2021	2	4	15	20	35	45	10
17th July 2021	22	24	28	35	37	45	49
14th July 2021	2	9	19	23	26	30	10
10th July 2021	4	5	18	28	35	42	2
7th July 2021	11	16	21	26	42	45	22
3rd July 2021	4	7	10	31	33	38	23
30th June 2021	9	10	13	26	28	30	36
26th June 2021	15	27	36	37	43	49	7
23rd June 2021	9	17	20	22	34	40	48
19th June 2021	13	15	17	25	34	45	5
16th June 2021	16	23	32	33	37	45	3
12th June 2021	11	20	22	33	41	49	34
9th June 2021	1	3	15	26	28	39	10
5th June 2021	13	15	22	42	45	46	14
2nd June 2021	1	13	22	32	33	39	48
29th May 2021	11	18	19	27	34	46	42
26th May 2021	7	10	20	38	45	49	26
22nd May 2021	7	13	14	34	37	45	29
19th May 2021	12	21	25	40	42	49	45
15th May 2021	3	6	12	28	39	46	5
12th May 2021	30	35	39	42	46	48	38
8th May 2021	25	28	36	38	41	49	20
5th May 2021	5	22	23	26	43	46	4
1st May 2021	10	15	21	30	32	38	24
28th April 2021	6	11	20	22	34	49	42
24th April 2021	14	18	27	33	34	39	49
21st April 2021	15	18	23	32	38	47	19
17th April 2021	7	13	32	38	39	48	23
14th April 2021	4	6	12	23	36	47	18
10th April 2021	5	16	19	24	28	34	4
7th April 2021	23	31	34	38	39	41	12
3rd April 2021	12	13	19	35	42	47	28
31st March 2021	3	7	8	12	37	40	41
27th March 2021	15	16	17	30	36	40	34
24th March 2021	3	4	27	43	45	48	44
20th March 2021	9	16	25	36	39	43	49
17th March 2021	4	9	13	25	44	49	3
13th March 2021	15	24	27	29	42	49	18
10th March 2021	30	31	35	36	43	48	28
6th March 2021	2	14	18	21	26	48	19
3rd March 2021	3	11	33	34	36	43	42
27th February 2021	11	15	16	20	46	49	17
24th February 2021	11	36	37	38	39	45	10
20th February 2021	2	14	15	21	29	46	7
17th February 2021	7	16	18	43	45	48	14
13th February 2021	16	17	27	40	41	45	38
10th February 2021	4	14	22	26	45	48	20
6th February 2021	6	11	12	26	28	38	47
3rd February 2021	20	21	26	30	35	41	47
30th January 2021	3	23	26	35	42	44	32
27th January 2021	12	17	23	36	44	49	32
23rd January 2021	5	17	21	29	41	43	46
20th January 2021	2	5	18	23	29	47	45
16th January 2021	9	10	21	28	35	43	34
13th January 2021	20	27	28	37	38	39	9
9th January 2021	4	8	18	24	31	32	40
6th January 2021	15	23	30	31	32	42	48
2nd January 2021	16	17	20	42	47	49	40
30th December 2020	7	14	30	32	38	45	6
26th December 2020	21	26	28	33	34	42	43
23rd December 2020	7	15	24	31	33	34	3
19th December 2020	1	8	10	11	17	35	41
16th December 2020	10	12	20	25	31	34	42
12th December 2020	27	28	29	36	46	48	49
9th December 2020	10	11	14	19	27	39	40
5th December 2020	3	10	13	21	27	45	23
2nd December 2020	22	24	28	41	47	49	21
28th November 2020	3	4	16	23	26	44	18
25th November 2020	13	14	31	33	37	46	40
21st November 2020	16	19	21	34	37	47	25
18th November 2020	7	14	21	28	30	32	22
14th November 2020	1	2	13	30	35	38	45
11th November 2020	6	14	18	23	31	47	44
7th November 2020	1	16	19	24	26	47	29
4th November 2020	2	9	13	18	40	46	34
31st October 2020	5	8	18	22	41	48	23
28th October 2020	2	3	16	25	34	46	49
24th October 2020	4	9	17	20	26	31	34
21st October 2020	26	28	32	37	40	47	10
17th October 2020	7	8	9	24	25	34	14
14th October 2020	10	18	20	38	39	44	40
10th October 2020	6	23	24	29	36	38	25
7th October 2020	4	5	12	13	18	19	34
3rd October 2020	12	22	24	37	39	43	16
30th September 2020	13	16	20	21	27	48	15
26th September 2020	8	27	29	33	40	49	2
23rd September 2020	11	17	28	29	36	39	15
19th September 2020	5	15	31	35	42	46	17
16th September 2020	6	12	23	29	44	46	39
12th September 2020	5	13	19	37	42	45	40
9th September 2020	3	5	9	19	29	37	42
5th September 2020	1	8	10	33	34	38	4
2nd September 2020	1	5	15	23	25	31	40
29th August 2020	3	13	21	24	29	40	35
26th August 2020	6	8	20	23	35	39	11
22nd August 2020	19	25	34	36	40	43	32
19th August 2020	2	17	32	37	39	42	9
15th August 2020	6	7	11	18	22	43	9
12th August 2020	16	24	27	43	48	49	39
8th August 2020	1	20	21	23	40	46	28
5th August 2020	3	14	23	30	38	43	24
1st August 2020	12	13	17	22	39	40	25
29th July 2020	1	11	17	19	22	45	14
25th July 2020	6	21	34	44	45	48	33
22nd July 2020	5	14	19	42	46	47	8
18th July 2020	5	23	37	40	44	45	47
15th July 2020	5	7	17	22	43	44	14
11th July 2020	16	22	31	36	43	44	46
8th July 2020	11	26	28	35	37	47	8
4th July 2020	15	20	27	34	38	42	47
1st July 2020	1	12	27	30	34	49	35
27th June 2020	1	13	14	24	36	44	7
24th June 2020	6	16	23	39	47	48	33
20th June 2020	14	22	29	36	48	49	19
17th June 2020	5	10	18	29	32	48	6
13th June 2020	3	31	34	38	45	48	12
10th June 2020	3	13	25	33	34	45	14
6th June 2020	6	22	38	45	48	49	2
3rd June 2020	2	15	20	22	29	39	13
30th May 2020	11	17	27	28	30	43	35
27th May 2020	7	17	18	22	28	34	1
23rd May 2020	4	25	27	28	35	44	9
20th May 2020	8	23	25	34	37	47	4
16th May 2020	1	6	7	14	26	48	49
13th May 2020	3	10	21	35	38	48	28
9th May 2020	13	14	15	35	45	47	9
6th May 2020	6	29	34	36	45	49	3
2nd May 2020	15	18	26	34	43	45	42
29th April 2020	6	17	21	30	40	41	27
25th April 2020	6	10	11	22	32	48	17
22nd April 2020	9	10	11	14	15	28	36
18th April 2020	1	10	23	32	46	48	36
15th April 2020	1	3	7	13	22	47	30
11th April 2020	10	14	17	32	35	42	26
8th April 2020	9	13	21	23	30	32	15
4th April 2020	19	29	34	35	44	45	10
1st April 2020	4	6	10	13	25	49	41
28th March 2020	2	7	21	30	33	46	27
25th March 2020	3	19	31	38	45	47	48
21st March 2020	6	11	22	36	37	45	10
18th March 2020	7	8	9	12	14	36	28
14th March 2020	1	2	23	27	31	32	43
11th March 2020	5	24	32	37	43	44	23
7th March 2020	5	8	13	27	34	46	39
4th March 2020	6	8	15	24	38	41	31
29th February 2020	6	12	15	18	31	46	13
26th February 2020	8	25	34	35	36	38	5
22nd February 2020	2	7	26	33	46	48	25
19th February 2020	5	6	13	23	44	49	40
15th February 2020	7	8	11	23	27	30	3
12th February 2020	16	20	24	33	36	47	4
8th February 2020	8	28	30	39	41	43	45
5th February 2020	1	3	6	24	29	45	48
1st February 2020	13	21	35	40	45	48	47
29th January 2020	3	14	16	23	41	43	29
25th January 2020	8	20	21	30	32	48	31
22nd January 2020	2	10	27	30	39	43	21
18th January 2020	2	5	10	18	26	30	36
15th January 2020	1	17	23	25	26	34	24
11th January 2020	2	3	7	18	24	26	6
8th January 2020	2	5	19	44	48	49	24
4th January 2020	23	24	36	42	45	46	21
1st January 2020	11	23	30	35	39	43	34
22nd December 2018	11	16	17	22	25	33	40
19th December 2018	1	9	31	32	34	45	5
15th December 2018	11	12	22	36	46	47	7
12th December 2018	10	13	23	27	31	42	17
8th December 2018	4	13	25	33	41	49	1
5th December 2018	11	13	18	23	26	46	12
1st December 2018	10	14	16	27	33	47	30
28th November 2018	3	17	21	29	47	49	7
24th November 2018	9	10	23	37	45	49	18
21st November 2018	2	10	13	25	40	42	38
17th November 2018	5	17	18	34	44	45	27
14th November 2018	5	10	20	23	35	42	44
10th November 2018	6	9	16	20	31	41	49
7th November 2018	2	10	13	16	31	43	8
3rd November 2018	7	8	24	32	42	48	45
31st October 2018	4	9	11	15	25	27	5
27th October 2018	10	18	21	29	35	37	24
24th October 2018	4	11	19	23	24	34	20
20th October 2018	4	12	16	25	30	31	8
17th October 2018	10	32	37	45	46	47	6
13th October 2018	25	27	31	41	44	45	16
10th October 2018	3	15	16	20	22	23	24
6th October 2018	20	23	24	33	37	48	22
3rd October 2018	15	32	38	40	44	45	2
29th September 2018	1	6	7	10	31	49	39
26th September 2018	5	7	9	35	42	45	31
22nd September 2018	19	34	36	39	40	49	2
19th September 2018	3	9	15	17	23	45	18
15th September 2018	3	4	18	24	32	36	19
12th September 2018	14	21	27	32	35	43	41
8th September 2018	8	10	31	41	46	47	45
5th September 2018	4	6	15	32	36	47	48
1st September 2018	8	12	15	34	37	44	45
29th August 2018	7	8	14	23	35	40	39
25th August 2018	3	6	12	24	43	49	46
22nd August 2018	3	4	19	30	37	40	10
18th August 2018	6	8	9	11	18	48	13
15th August 2018	2	17	25	27	37	42	29
11th August 2018	2	9	16	27	38	41	34
8th August 2018	9	18	21	22	29	37	17
4th August 2018	3	9	11	21	24	45	43
1st August 2018	13	19	22	29	36	42	35
28th July 2018	5	11	17	20	28	45	7
25th July 2018	2	7	15	31	33	42	20
21st July 2018	2	9	22	26	27	30	41
18th July 2018	3	14	16	19	44	48	1
14th July 2018	8	10	12	17	22	37	29
11th July 2018	1	9	11	38	45	48	25
7th July 2018	1	3	25	40	44	47	2
4th July 2018	6	25	37	44	47	49	26
30th June 2018	2	3	7	11	16	20	17
27th June 2018	4	6	10	13	14	28	47
23rd June 2018	8	11	31	36	41	45	40
20th June 2018	14	24	31	35	37	48	17
16th June 2018	2	15	21	31	38	49	8
13th June 2018	6	22	24	31	32	34	16
9th June 2018	19	25	31	36	46	47	26
6th June 2018	10	15	23	38	40	41	35
2nd June 2018	2	26	32	40	45	49	29
30th May 2018	9	14	17	21	38	39	22
26th May 2018	12	13	16	23	39	44	2
23rd May 2018	4	9	15	20	42	44	31
19th May 2018	14	15	28	34	38	44	30
16th May 2018	19	21	28	30	39	46	7
12th May 2018	6	17	21	34	37	44	13
9th May 2018	15	17	21	24	36	37	32
5th May 2018	4	18	24	26	33	48	34
2nd May 2018	4	7	28	36	37	49	21
28th April 2018	24	31	33	34	44	46	10
25th April 2018	10	14	15	16	40	46	6
21st April 2018	12	19	20	30	41	49	9
18th April 2018	12	17	19	22	27	39	38
14th April 2018	1	11	19	36	48	49	9
11th April 2018	3	7	10	32	41	43	33
7th April 2018	18	22	36	40	47	49	32
4th April 2018	6	8	9	13	34	40	4
31st March 2018	3	7	22	26	43	47	48
28th December 2019	2	4	12	18	29	41	30
25th December 2019	17	24	28	33	36	45	48
21st December 2019	16	18	19	45	47	48	21
18th December 2019	18	22	25	36	38	44	8
14th December 2019	9	12	17	23	41	44	3
11th December 2019	7	17	21	34	47	48	27
7th December 2019	18	32	36	37	38	45	13
4th December 2019	2	3	4	10	21	43	19
30th November 2019	1	8	18	24	30	45	13
27th November 2019	13	15	16	20	39	42	27
23rd November 2019	16	19	24	29	31	36	8
20th November 2019	4	20	29	30	36	45	22
16th November 2019	2	3	4	11	27	47	17
13th November 2019	1	19	31	44	46	49	3
9th November 2019	12	31	36	37	46	49	43
6th November 2019	6	8	13	14	35	40	26
2nd November 2019	8	16	19	20	39	43	28
30th October 2019	23	30	33	34	41	45	31
26th October 2019	4	12	15	26	43	44	2
23rd October 2019	11	13	24	28	40	46	44
19th October 2019	2	16	28	47	48	49	35
16th October 2019	2	4	9	24	44	45	18
12th October 2019	13	16	25	32	33	41	2
9th October 2019	5	14	18	33	40	44	16
5th October 2019	14	15	35	38	42	46	12
2nd October 2019	20	28	29	41	45	46	27
28th September 2019	1	4	5	7	21	40	41
25th September 2019	16	25	28	29	39	47	17
21st September 2019	1	2	4	32	38	39	21
18th September 2019	3	10	15	23	45	47	9
14th September 2019	6	13	28	29	35	43	25
11th September 2019	2	4	27	36	45	49	41
7th September 2019	25	28	37	38	42	48	34
4th September 2019	1	4	5	17	21	29	46
31st August 2019	2	21	22	24	48	49	23
28th August 2019	1	10	18	39	43	47	26
24th August 2019	3	7	8	14	20	24	31
21st August 2019	2	17	24	25	40	43	16
17th August 2019	4	31	34	39	41	48	43
14th August 2019	9	14	18	31	32	41	38
10th August 2019	2	3	20	33	48	49	32
7th August 2019	5	8	9	19	28	31	18
3rd August 2019	4	14	17	22	26	46	47
31st July 2019	2	11	19	35	39	48	17
27th July 2019	1	3	5	34	38	43	49
24th July 2019	2	8	10	18	37	48	29
20th July 2019	4	21	30	41	44	46	5
17th July 2019	21	24	33	36	41	42	3
13th July 2019	5	11	12	33	37	45	2
10th July 2019	7	15	22	28	43	49	45
6th July 2019	10	28	38	39	40	43	45
3rd July 2019	13	21	26	30	38	39	19
29th June 2019	2	5	19	21	29	46	15
26th June 2019	4	10	17	24	26	33	2
22nd June 2019	15	16	34	35	38	44	43
19th June 2019	21	31	41	45	46	47	39
15th June 2019	10	19	24	30	35	49	32
12th June 2019	22	23	31	38	47	48	10
8th June 2019	9	12	15	20	24	43	36
5th June 2019	6	21	35	46	48	49	14
1st June 2019	16	29	34	35	47	49	10
25th May 2019	12	19	22	25	45	49	28
22nd May 2019	13	19	22	25	32	35	48
18th May 2019	7	8	13	27	28	34	2
15th May 2019	5	6	32	40	42	47	17
11th May 2019	3	12	26	27	34	46	29
8th May 2019	18	19	22	30	41	48	47
4th May 2019	3	4	12	21	41	49	5
1st May 2019	23	27	28	34	38	43	48
27th April 2019	5	6	11	16	19	27	24
24th April 2019	6	10	16	17	41	43	18
20th April 2019	11	15	32	34	44	47	3
17th April 2019	10	11	20	26	38	43	3
13th April 2019	4	5	15	23	38	45	12
10th April 2019	10	16	23	38	39	48	33
6th April 2019	6	19	30	37	38	49	34
3rd April 2019	12	17	29	35	40	47	23
30th March 2019	7	14	18	26	31	32	3
27th March 2019	16	19	22	28	34	48	49
23rd March 2019	3	6	20	22	23	24	19
20th March 2019	2	8	17	21	22	26	5
16th March 2019	9	12	15	20	25	45	16
13th March 2019	4	13	18	21	26	31	33
9th March 2019	22	23	26	34	42	46	3
6th March 2019	1	3	18	19	22	37	30
2nd March 2019	4	14	21	29	41	49	35
27th February 2019	4	13	22	25	29	39	6
23rd February 2019	5	6	10	43	46	47	27
20th February 2019	21	22	23	30	33	43	42
16th February 2019	3	9	10	20	21	35	31
13th February 2019	5	19	24	29	36	41	9
9th February 2019	1	24	35	41	42	49	18
6th February 2019	1	16	27	28	36	39	9
2nd February 2019	14	16	25	29	30	48	12
30th January 2019	3	7	27	37	43	48	45
26th January 2019	3	7	10	12	14	25	36
23rd January 2019	3	19	20	26	31	38	6
19th January 2019	2	13	32	39	44	49	10
16th January 2019	4	10	11	34	46	48	23
12th January 2019	10	13	21	30	46	48	23
9th January 2019	1	10	27	38	44	47	41
5th January 2019	4	10	38	40	45	48	43
2nd January 2019	13	18	19	36	37	43	49
28th March 2018	11	12	19	24	28	46	39
24th March 2018	9	11	28	30	45	49	5
21st March 2018	1	5	9	12	39	41	28
17th March 2018	16	17	35	43	44	46	49
14th March 2018	1	9	10	19	33	43	21
10th March 2018	2	10	28	43	44	48	39
7th March 2018	6	30	33	38	45	46	40
3rd March 2018	12	17	25	30	32	39	47
28th February 2018	3	14	36	38	40	48	23
24th February 2018	3	13	19	26	33	44	5
21st February 2018	10	11	24	25	30	49	47
17th February 2018	18	29	31	36	47	48	17
14th February 2018	8	15	17	22	30	43	13
10th February 2018	18	20	21	22	30	33	26
7th February 2018	3	8	11	18	28	45	6
3rd February 2018	10	13	16	23	36	44	42
31st January 2018	1	7	27	31	34	39	3
27th January 2018	7	8	13	24	28	35	26
24th January 2018	9	20	21	28	34	35	33
20th January 2018	6	10	14	27	30	40	5
17th January 2018	6	24	34	39	43	44	8
13th January 2018	21	26	32	40	42	44	12
10th January 2018	9	10	19	23	28	49	15
6th January 2018	12	25	36	39	42	45	29
3rd January 2018	3	13	20	35	37	39	14
30th December 2017	8	12	23	25	45	47	43
27th December 2017	4	7	10	14	27	31	1
23rd December 2017	8	11	22	29	39	40	30
20th December 2017	3	4	28	30	34	41	31
16th December 2017	2	13	24	26	31	41	40
13th December 2017	12	29	30	40	45	48	27
9th December 2017	8	10	11	14	19	33	30
6th December 2017	6	9	16	19	21	28	35
2nd December 2017	10	12	29	33	47	48	24
29th November 2017	11	18	27	33	37	43	20
25th November 2017	16	17	21	31	39	49	29
22nd November 2017	26	28	31	36	38	45	18
18th November 2017	9	16	18	22	23	40	13
15th November 2017	18	25	29	30	36	48	47
11th November 2017	15	21	24	31	37	42	32
8th November 2017	22	24	25	32	39	42	45
4th November 2017	1	3	6	21	22	33	19
1st November 2017	1	23	29	32	45	49	16
28th October 2017	8	15	25	30	31	32	1
25th October 2017	6	31	37	40	41	42	44
21st October 2017	3	24	26	30	34	49	47
18th October 2017	11	25	33	35	40	42	15
14th October 2017	16	22	28	29	32	34	43
11th October 2017	18	24	32	36	37	44	9
7th October 2017	8	22	28	40	46	49	9
4th October 2017	4	6	10	11	20	35	43
30th September 2017	6	27	33	38	40	47	16
27th September 2017	2	16	19	20	23	34	9
23rd September 2017	4	11	15	20	35	47	25
20th September 2017	6	17	29	37	45	47	39
16th September 2017	9	17	19	26	37	47	13
13th September 2017	18	22	24	28	29	33	7
9th September 2017	5	9	18	29	39	47	35
6th September 2017	9	15	18	21	24	28	14
2nd September 2017	9	19	26	27	42	46	21
30th August 2017	21	23	31	33	36	38	9
26th August 2017	5	7	32	38	40	46	47
23rd August 2017	9	15	24	33	40	46	38
19th August 2017	2	13	27	45	48	49	19
16th August 2017	25	29	30	31	33	47	34
12th August 2017	5	8	13	25	33	45	38
9th August 2017	16	23	28	38	41	43	19
5th August 2017	18	21	36	41	45	47	17
2nd August 2017	13	16	24	25	38	43	48
29th July 2017	12	15	17	31	47	49	26
26th July 2017	1	2	18	26	36	44	49
22nd July 2017	5	8	17	32	38	45	18
19th July 2017	2	5	10	11	27	39	48
15th July 2017	10	12	27	29	34	48	39
12th July 2017	12	13	30	41	45	49	16
8th July 2017	20	25	26	32	34	36	9
5th July 2017	4	9	33	36	47	49	10
1st July 2017	15	16	22	33	37	41	27
28th June 2017	8	21	25	34	46	48	4
24th June 2017	3	11	16	40	43	46	36
21st June 2017	2	12	34	39	41	45	21
17th June 2017	5	6	18	21	36	44	32
14th June 2017	17	24	26	27	35	49	33
10th June 2017	3	4	21	31	33	48	26
7th June 2017	16	19	23	30	33	40	46
3rd June 2017	7	12	32	36	40	44	45
31st May 2017	1	3	8	9	12	40	2
27th May 2017	7	15	25	26	27	36	12
24th May 2017	3	5	9	22	37	46	10
20th May 2017	5	8	10	20	33	34	45
17th May 2017	9	17	36	38	41	45	39
13th May 2017	18	19	22	26	30	47	43
10th May 2017	6	7	8	21	27	38	23
6th May 2017	6	7	9	11	34	38	8
3rd May 2017	1	5	7	16	28	46	30
29th April 2017	10	23	26	40	45	46	12
